date,product_id,units_sold,revenue,cogs,gross_profit
2024-01-10,P003,24,479.76,192.0,287.76
2024-01-10,P004,8,479.92,240.0,239.92
2024-01-10,P005,6,779.94,330.0,449.94
2024-01-11,P001,13,1169.87,585.0,584.87
2024-01-11,P002,17,509.83,204.0,305.83
2024-01-11,P003,23,459.77,184.0,275.77
2024-01-11,P004,16,959.84,480.0,479.84
2024-01-11,P005,8,1039.92,440.0,599.92
2024-01-12,P001,23,2069.77,1035.0,1034.77
2024-01-12,P002,15,449.85,180.0,269.85
2024-01-12,P003,17,339.83,136.0,203.83
2024-01-12,P004,13,779.87,390.0,389.87
2024-01-12,P005,9,1169.91,495.0,674.91
2024-01-13,P001,20,1799.8,900.0,899.8
2024-01-13,P002,16,479.84,192.0,287.84
2024-01-13,P003,31,619.69,248.0,371.69
2024-01-13,P004,15,899.85,450.0,449.85
2024-01-13,P005,6,779.94,330.0,449.94
2024-01-14,P001,29,2609.71,1305.0,1304.71
2024-01-14,P002,15,449.85,180.0,269.85
2024-01-14,P003,36,719.64,288.0,431.64
2024-01-14,P004,10,599.9,300.0,299.9
2024-01-14,P005,13,1689.87,715.0,974.87
2024-01-15,P001,17,1529.83,765.0,764.83
2024-01-15,P002,17,509.83,204.0,305.83
2024-01-15,P003,25,499.75,200.0,299.75
2024-01-15,P004,16,959.84,480.0,479.84
2024-01-15,P005,4,519.96,220.0,299.96
2024-01-16,P001,17,1529.83,765.0,764.83
2024-01-16,P002,14,419.86,168.0,251.86
2024-01-16,P003,20,399.8,160.0,239.8
2024-01-16,P004,11,659.89,330.0,329.89
2024-01-16,P005,4,519.96,220.0,299.96
2024-01-17,P001,17,1529.83,765.0,764.83
2024-01-17,P002,14,419.86,168.0,251.86
2024-01-17,P003,27,539.73,216.0,323.73
2024-01-17,P004,11,659.89,330.0,329.89
2024-01-17,P005,6,779.94,330.0,449.94
2024-01-18,P001,13,1169.87,585.0,584.87
2024-01-18,P002,16,479.84,192.0,287.84
2024-01-18,P003,26,519.74,208.0,311.74
2024-01-18,P004,12,719.88,360.0,359.88
2024-01-18,P005,4,519.96,220.0,299.96
2024-01-19,P001,7,629.93,315.0,314.93
2024-01-19,P002,18,539.82,216.0,323.82
2024-01-19,P003,22,439.78,176.0,263.78
2024-01-19,P004,11,659.89,330.0,329.89
2024-01-19,P005,5,649.95,275.0,374.95
2024-01-20,P001,20,1799.8,900.0,899.8
2024-01-20,P002,18,539.82,216.0,323.82
2024-01-20,P003,32,639.68,256.0,383.68
2024-01-20,P004,8,479.92,240.0,239.92
2024-01-20,P005,12,1559.88,660.0,899.88
2024-01-21,P001,13,1169.87,585.0,584.87
2024-01-21,P002,20,599.8,240.0,359.8
2024-01-21,P003,26,519.74,208.0,311.74
2024-01-21,P004,12,719.88,360.0,359.88
2024-01-21,P005,18,2339.82,990.0,1349.82
2024-01-22,P001,16,1439.84,720.0,719.84
2024-01-22,P002,12,359.88,144.0,215.88
2024-01-22,P003,30,599.7,240.0,359.7
2024-01-22,P004,19,1139.81,570.0,569.81
2024-01-22,P005,9,1169.91,495.0,674.91
2024-01-23,P001,8,719.92,360.0,359.92
2024-01-23,P002,13,389.87,156.0,233.87
2024-01-23,P003,20,399.8,160.0,239.8
2024-01-23,P004,7,419.93,210.0,209.93
2024-01-23,P005,4,519.96,220.0,299.96
2024-01-24,P001,9,809.91,405.0,404.91
2024-01-24,P002,12,359.88,144.0,215.88
2024-01-24,P003,26,519.74,208.0,311.74
2024-01-24,P004,6,359.94,180.0,179.94
2024-01-24,P005,5,649.95,275.0,374.95
2024-01-25,P001,16,1439.84,720.0,719.84
2024-01-25,P002,8,239.92,96.0,143.92
2024-01-25,P003,25,499.75,200.0,299.75
2024-01-25,P004,10,599.9,300.0,299.9
2024-01-25,P005,5,649.95,275.0,374.95
2024-01-26,P001,22,1979.78,990.0,989.78
2024-01-26,P002,14,419.86,168.0,251.86
2024-01-26,P003,25,499.75,200.0,299.75
2024-01-26,P004,13,779.87,390.0,389.87
2024-01-26,P005,8,1039.92,440.0,599.92
2024-01-27,P001,21,1889.79,945.0,944.79
2024-01-27,P002,19,569.81,228.0,341.81
2024-01-27,P003,32,639.68,256.0,383.68
2024-01-27,P004,12,719.88,360.0,359.88
2024-01-27,P005,11,1429.89,605.0,824.89
2024-01-28,P001,20,1799.8,900.0,899.8
2024-01-28,P002,19,569.81,228.0,341.81
2024-01-28,P003,35,699.65,280.0,419.65
2024-01-28,P004,14,839.86,420.0,419.86
2024-01-28,P005,14,1819.86,770.0,1049.86
2024-01-29,P001,19,1709.81,855.0,854.81
2024-01-29,P002,12,359.88,144.0,215.88
2024-01-29,P003,25,499.75,200.0,299.75
2024-01-29,P004,14,839.86,420.0,419.86
2024-01-29,P005,6,779.94,330.0,449.94
2024-01-30,P001,20,1799.8,900.0,899.8
2024-01-30,P002,16,479.84,192.0,287.84
2024-01-30,P003,16,319.84,128.0,191.84
2024-01-30,P004,10,599.9,300.0,299.9
2024-01-30,P005,12,1559.88,660.0,899.88
2024-01-31,P001,13,1169.87,585.0,584.87
2024-01-31,P002,11,329.89,132.0,197.89
2024-01-31,P003,19,379.81,152.0,227.81
2024-01-31,P004,7,419.93,210.0,209.93
2024-01-31,P005,6,779.94,330.0,449.94
2024-02-01,P001,21,1889.79,945.0,944.79
2024-02-01,P002,11,329.89,132.0,197.89
2024-02-01,P003,20,399.8,160.0,239.8
2024-02-01,P004,9,539.91,270.0,269.91
2024-02-01,P005,6,779.94,330.0,449.94
2024-02-02,P001,23,2069.77,1035.0,1034.77
2024-02-02,P002,9,269.91,108.0,161.91
2024-02-02,P003,34,679.66,272.0,407.66
2024-02-02,P004,10,599.9,300.0,299.9
2024-02-02,P005,9,1169.91,495.0,674.91
2024-02-03,P001,20,1799.8,900.0,899.8
2024-02-03,P002,26,779.74,312.0,467.74
2024-02-03,P003,34,679.66,272.0,407.66
2024-02-03,P004,16,959.84,480.0,479.84
2024-02-03,P005,8,1039.92,440.0,599.92
2024-02-04,P001,22,1979.78,990.0,989.78
2024-02-04,P002,17,509.83,204.0,305.83
2024-02-04,P003,30,599.7,240.0,359.7
2024-02-04,P004,22,1319.78,660.0,659.78
2024-02-04,P005,11,1429.89,605.0,824.89
2024-02-05,P001,19,1709.81,855.0,854.81
2024-02-05,P002,18,539.82,216.0,323.82
2024-02-05,P003,19,379.81,152.0,227.81
2024-02-05,P004,11,659.89,330.0,329.89
2024-02-05,P005,7,909.93,385.0,524.93
2024-02-06,P001,14,1259.86,630.0,629.86
2024-02-06,P002,13,389.87,156.0,233.87
2024-02-06,P003,33,659.67,264.0,395.67
2024-02-06,P004,13,779.87,390.0,389.87
2024-02-06,P005,12,1559.88,660.0,899.88
2024-02-07,P001,22,1979.78,990.0,989.78
2024-02-07,P002,13,389.87,156.0,233.87
2024-02-07,P003,26,519.74,208.0,311.74
2024-02-07,P004,8,479.92,240.0,239.92
2024-02-07,P005,6,779.94,330.0,449.94
2024-02-08,P001,13,1169.87,585.0,584.87
2024-02-08,P002,19,569.81,228.0,341.81
2024-02-08,P003,28,559.72,224.0,335.72
2024-02-08,P004,14,839.86,420.0,419.86
2024-02-08,P005,9,1169.91,495.0,674.91
2024-02-09,P001,22,1979.78,990.0,989.78
2024-02-09,P002,20,599.8,240.0,359.8
2024-02-09,P003,30,599.7,240.0,359.7
2024-02-09,P004,9,539.91,270.0,269.91
2024-02-09,P005,13,1689.87,715.0,974.87
2024-02-10,P001,32,2879.68,1440.0,1439.68
2024-02-10,P002,20,599.8,240.0,359.8
2024-02-10,P003,35,699.65,280.0,419.65
2024-02-10,P004,25,1499.75,750.0,749.75
2024-02-10,P005,9,1169.91,495.0,674.91
2024-02-11,P001,29,2609.71,1305.0,1304.71
2024-02-11,P002,20,599.8,240.0,359.8
2024-02-11,P003,38,759.62,304.0,455.62
2024-02-11,P004,14,839.86,420.0,419.86
2024-02-11,P005,14,1819.86,770.0,1049.86
2024-02-12,P001,20,1799.8,900.0,899.8
2024-02-12,P002,21,629.79,252.0,377.79
2024-02-12,P003,31,619.69,248.0,371.69
2024-02-12,P004,17,1019.83,510.0,509.83
2024-02-12,P005,10,1299.9,550.0,749.9
2024-02-13,P001,20,1799.8,900.0,899.8
2024-02-13,P002,11,329.89,132.0,197.89
2024-02-13,P003,26,519.74,208.0,311.74
2024-02-13,P004,19,1139.81,570.0,569.81
2024-02-13,P005,14,1819.86,770.0,1049.86
2024-02-14,P001,19,1709.81,855.0,854.81
2024-02-14,P002,14,419.86,168.0,251.86
2024-02-14,P003,23,459.77,184.0,275.77
2024-02-14,P004,12,719.88,360.0,359.88
2024-02-14,P005,8,1039.92,440.0,599.92
2024-02-15,P001,19,1709.81,855.0,854.81
2024-02-15,P002,22,659.78,264.0,395.78
2024-02-15,P003,27,539.73,216.0,323.73
2024-02-15,P004,8,479.92,240.0,239.92
2024-02-15,P005,8,1039.92,440.0,599.92
2024-02-16,P001,14,1259.86,630.0,629.86
2024-02-16,P002,15,449.85,180.0,269.85
2024-02-16,P003,16,319.84,128.0,191.84
2024-02-16,P004,12,719.88,360.0,359.88
2024-02-16,P005,9,1169.91,495.0,674.91
2024-02-17,P001,23,2069.77,1035.0,1034.77
2024-02-17,P002,15,449.85,180.0,269.85
2024-02-17,P003,36,719.64,288.0,431.64
2024-02-17,P004,13,779.87,390.0,389.87
2024-02-17,P005,13,1689.87,715.0,974.87
2024-02-18,P001,17,1529.83,765.0,764.83
2024-02-18,P002,15,449.85,180.0,269.85
2024-02-18,P003,28,559.72,224.0,335.72
2024-02-18,P004,13,779.87,390.0,389.87
2024-02-18,P005,10,1299.9,550.0,749.9
2024-02-19,P001,14,1259.86,630.0,629.86
2024-02-19,P002,21,629.79,252.0,377.79
2024-02-19,P003,17,339.83,136.0,203.83
2024-02-19,P004,14,839.86,420.0,419.86
2024-02-19,P005,11,1429.89,605.0,824.89
2024-02-20,P001,28,2519.72,1260.0,1259.72
2024-02-20,P002,15,449.85,180.0,269.85
2024-02-20,P003,30,599.7,240.0,359.7
2024-02-20,P004,13,779.87,390.0,389.87
2024-02-20,P005,7,909.93,385.0,524.93
2024-02-21,P001,26,2339.74,1170.0,1169.74
2024-02-21,P002,16,479.84,192.0,287.84
2024-02-21,P003,26,519.74,208.0,311.74
2024-02-21,P004,17,1019.83,510.0,509.83
2024-02-21,P005,7,909.93,385.0,524.93
2024-02-22,P001,26,2339.74,1170.0,1169.74
2024-02-22,P002,14,419.86,168.0,251.86
2024-02-22,P003,14,279.86,112.0,167.86
2024-02-22,P004,15,899.85,450.0,449.85
2024-02-22,P005,11,1429.89,605.0,824.89
2024-02-23,P001,15,1349.85,675.0,674.85
2024-02-23,P002,12,359.88,144.0,215.88
2024-02-23,P003,27,539.73,216.0,323.73
2024-02-23,P004,16,959.84,480.0,479.84
2024-02-23,P005,10,1299.9,550.0,749.9
2024-02-24,P001,22,1979.78,990.0,989.78
2024-02-24,P002,27,809.73,324.0,485.73
2024-02-24,P003,46,919.54,368.0,551.54
2024-02-24,P004,12,719.88,360.0,359.88
2024-02-24,P005,15,1949.85,825.0,1124.85
2024-02-25,P001,29,2609.71,1305.0,1304.71
2024-02-25,P002,22,659.78,264.0,395.78
2024-02-25,P003,29,579.71,232.0,347.71
2024-02-25,P004,25,1499.75,750.0,749.75
2024-02-25,P005,7,909.93,385.0,524.93
2024-02-26,P001,26,2339.74,1170.0,1169.74
2024-02-26,P002,18,539.82,216.0,323.82
2024-02-26,P003,36,719.64,288.0,431.64
2024-02-26,P004,11,659.89,330.0,329.89
2024-02-26,P005,4,519.96,220.0,299.96
2024-02-27,P001,21,1889.79,945.0,944.79
2024-02-27,P002,18,539.82,216.0,323.82
2024-02-27,P003,23,459.77,184.0,275.77
2024-02-27,P004,16,959.84,480.0,479.84
2024-02-27,P005,6,779.94,330.0,449.94
2024-02-28,P001,24,2159.76,1080.0,1079.76
2024-02-28,P002,23,689.77,276.0,413.77
2024-02-28,P003,30,599.7,240.0,359.7
2024-02-28,P004,12,719.88,360.0,359.88
2024-02-28,P005,10,1299.9,550.0,749.9
2024-02-29,P001,15,1349.85,675.0,674.85
2024-02-29,P002,14,419.86,168.0,251.86
2024-02-29,P003,28,559.72,224.0,335.72
2024-02-29,P004,7,419.93,210.0,209.93
2024-02-29,P005,12,1559.88,660.0,899.88
2024-03-01,P001,17,1529.83,765.0,764.83
2024-03-01,P002,21,629.79,252.0,377.79
2024-03-01,P003,27,539.73,216.0,323.73
2024-03-01,P004,16,959.84,480.0,479.84
2024-03-01,P005,9,1169.91,495.0,674.91
2024-03-02,P001,30,2699.7,1350.0,1349.7
2024-03-02,P002,14,419.86,168.0,251.86
2024-03-02,P003,35,699.65,280.0,419.65
2024-03-02,P004,21,1259.79,630.0,629.79
2024-03-02,P005,6,779.94,330.0,449.94
2024-03-03,P001,30,2699.7,1350.0,1349.7
2024-03-03,P002,28,839.72,336.0,503.72
2024-03-03,P003,37,739.63,296.0,443.63
2024-03-03,P004,23,1379.77,690.0,689.77
2024-03-03,P005,14,1819.86,770.0,1049.86
2024-03-04,P001,25,2249.75,1125.0,1124.75
2024-03-04,P002,20,599.8,240.0,359.8
2024-03-04,P003,30,599.7,240.0,359.7
2024-03-04,P004,10,599.9,300.0,299.9
2024-03-04,P005,8,1039.92,440.0,599.92
2024-03-05,P001,21,1889.79,945.0,944.79
2024-03-05,P002,14,419.86,168.0,251.86
2024-03-05,P003,24,479.76,192.0,287.76
2024-03-05,P004,15,899.85,450.0,449.85
2024-03-05,P005,10,1299.9,550.0,749.9
2024-03-06,P001,18,1619.82,810.0,809.82
2024-03-06,P002,9,269.91,108.0,161.91
2024-03-06,P003,26,519.74,208.0,311.74
2024-03-06,P004,17,1019.83,510.0,509.83
2024-03-06,P005,4,519.96,220.0,299.96
2024-03-07,P001,25,2249.75,1125.0,1124.75
2024-03-07,P002,16,479.84,192.0,287.84
2024-03-07,P003,28,559.72,224.0,335.72
2024-03-07,P004,18,1079.82,540.0,539.82
2024-03-07,P005,9,1169.91,495.0,674.91
2024-03-08,P001,23,2069.77,1035.0,1034.77
2024-03-08,P002,16,479.84,192.0,287.84
2024-03-08,P003,24,479.76,192.0,287.76
2024-03-08,P004,13,779.87,390.0,389.87
2024-03-08,P005,11,1429.89,605.0,824.89
2024-03-09,P001,29,2609.71,1305.0,1304.71
2024-03-09,P002,22,659.78,264.0,395.78
2024-03-09,P003,29,579.71,232.0,347.71
2024-03-09,P004,18,1079.82,540.0,539.82
2024-03-09,P005,12,1559.88,660.0,899.88
2024-03-10,P001,28,2519.72,1260.0,1259.72
2024-03-10,P002,27,809.73,324.0,485.73
2024-03-10,P003,36,719.64,288.0,431.64
2024-03-10,P004,11,659.89,330.0,329.89
2024-03-10,P005,12,1559.88,660.0,899.88
2024-03-11,P001,18,1619.82,810.0,809.82
2024-03-11,P002,22,659.78,264.0,395.78
2024-03-11,P003,20,399.8,160.0,239.8
2024-03-11,P004,14,839.86,420.0,419.86
2024-03-11,P005,5,649.95,275.0,374.95
2024-03-12,P001,19,1709.81,855.0,854.81
2024-03-12,P002,10,299.9,120.0,179.9
2024-03-12,P003,21,419.79,168.0,251.79
2024-03-12,P004,16,959.84,480.0,479.84
2024-03-12,P005,5,649.95,275.0,374.95
2024-03-13,P001,30,2699.7,1350.0,1349.7
2024-03-13,P002,18,539.82,216.0,323.82
2024-03-13,P003,34,679.66,272.0,407.66
2024-03-13,P004,18,1079.82,540.0,539.82
2024-03-13,P005,9,1169.91,495.0,674.91
2024-03-14,P001,16,1439.84,720.0,719.84
2024-03-14,P002,15,449.85,180.0,269.85
2024-03-14,P003,33,659.67,264.0,395.67
2024-03-14,P004,14,839.86,420.0,419.86
2024-03-14,P005,8,1039.92,440.0,599.92
2024-03-15,P001,17,1529.83,765.0,764.83
2024-03-15,P002,22,659.78,264.0,395.78
2024-03-15,P003,32,639.68,256.0,383.68
2024-03-15,P004,12,719.88,360.0,359.88
2024-03-15,P005,13,1689.87,715.0,974.87
2024-03-16,P001,29,2609.71,1305.0,1304.71
2024-03-16,P002,26,779.74,312.0,467.74
2024-03-16,P003,31,619.69,248.0,371.69
2024-03-16,P004,32,1919.68,960.0,959.68
2024-03-16,P005,17,2209.83,935.0,1274.83
2024-03-17,P001,23,2069.77,1035.0,1034.77
2024-03-17,P002,21,629.79,252.0,377.79
2024-03-17,P003,34,679.66,272.0,407.66
2024-03-17,P004,14,839.86,420.0,419.86
2024-03-17,P005,23,2989.77,1265.0,1724.77
2024-03-18,P001,23,2069.77,1035.0,1034.77
2024-03-18,P002,21,629.79,252.0,377.79
2024-03-18,P003,24,479.76,192.0,287.76
2024-03-18,P004,10,599.9,300.0,299.9
2024-03-18,P005,8,1039.92,440.0,599.92
2024-03-19,P001,24,2159.76,1080.0,1079.76
2024-03-19,P002,17,509.83,204.0,305.83
2024-03-19,P003,34,679.66,272.0,407.66
2024-03-19,P004,19,1139.81,570.0,569.81
2024-03-19,P005,5,649.95,275.0,374.95
2024-03-20,P001,15,1349.85,675.0,674.85
2024-03-20,P002,25,749.75,300.0,449.75
2024-03-20,P003,29,579.71,232.0,347.71
2024-03-20,P004,24,1439.76,720.0,719.76
2024-03-20,P005,9,1169.91,495.0,674.91
2024-03-21,P001,24,2159.76,1080.0,1079.76
2024-03-21,P002,16,479.84,192.0,287.84
2024-03-21,P003,23,459.77,184.0,275.77
2024-03-21,P004,16,959.84,480.0,479.84
2024-03-21,P005,11,1429.89,605.0,824.89
2024-03-22,P001,20,1799.8,900.0,899.8
2024-03-22,P002,21,629.79,252.0,377.79
2024-03-22,P003,27,539.73,216.0,323.73
2024-03-22,P004,16,959.84,480.0,479.84
2024-03-22,P005,7,909.93,385.0,524.93
2024-03-23,P001,25,2249.75,1125.0,1124.75
2024-03-23,P002,25,749.75,300.0,449.75
2024-03-23,P003,36,719.64,288.0,431.64
2024-03-23,P004,17,1019.83,510.0,509.83
2024-03-23,P005,6,779.94,330.0,449.94
2024-03-24,P001,30,2699.7,1350.0,1349.7
2024-03-24,P002,22,659.78,264.0,395.78
2024-03-24,P003,45,899.55,360.0,539.55
2024-03-24,P004,18,1079.82,540.0,539.82
2024-03-24,P005,11,1429.89,605.0,824.89
2024-03-25,P001,19,1709.81,855.0,854.81
2024-03-25,P002,17,509.83,204.0,305.83
2024-03-25,P003,37,739.63,296.0,443.63
2024-03-25,P004,21,1259.79,630.0,629.79
2024-03-25,P005,9,1169.91,495.0,674.91
2024-03-26,P001,22,1979.78,990.0,989.78
2024-03-26,P002,14,419.86,168.0,251.86
2024-03-26,P003,21,419.79,168.0,251.79
2024-03-26,P004,16,959.84,480.0,479.84
2024-03-26,P005,9,1169.91,495.0,674.91
2024-03-27,P001,22,1979.78,990.0,989.78
2024-03-27,P002,23,689.77,276.0,413.77
2024-03-27,P003,23,459.77,184.0,275.77
2024-03-27,P004,13,779.87,390.0,389.87
2024-03-27,P005,11,1429.89,605.0,824.89
2024-03-28,P001,16,1439.84,720.0,719.84
2024-03-28,P002,22,659.78,264.0,395.78
2024-03-28,P003,20,399.8,160.0,239.8
2024-03-28,P004,16,959.84,480.0,479.84
2024-03-28,P005,13,1689.87,715.0,974.87
2024-03-29,P001,14,1259.86,630.0,629.86
2024-03-29,P002,18,539.82,216.0,323.82
2024-03-29,P003,19,379.81,152.0,227.81
2024-03-29,P004,20,1199.8,600.0,599.8
2024-03-29,P005,5,649.95,275.0,374.95
2024-03-30,P001,32,2879.68,1440.0,1439.68
2024-03-30,P002,23,689.77,276.0,413.77
2024-03-30,P003,40,799.6,320.0,479.6
2024-03-30,P004,16,959.84,480.0,479.84
2024-03-30,P005,14,1819.86,770.0,1049.86
2024-03-31,P001,31,2789.69,1395.0,1394.69
2024-03-31,P002,13,389.87,156.0,233.87
2024-03-31,P003,52,1039.48,416.0,623.48
2024-03-31,P004,21,1259.79,630.0,629.79
2024-03-31,P005,13,1689.87,715.0,974.87
2024-04-01,P001,21,1889.79,945.0,944.79
2024-04-01,P002,16,479.84,192.0,287.84
2024-04-01,P003,25,499.75,200.0,299.75
2024-04-01,P004,22,1319.78,660.0,659.78
2024-04-01,P005,14,1819.86,770.0,1049.86
2024-04-02,P001,24,2159.76,1080.0,1079.76
2024-04-02,P002,21,629.79,252.0,377.79
2024-04-02,P003,33,659.67,264.0,395.67
2024-04-02,P004,13,779.87,390.0,389.87
2024-04-02,P005,9,1169.91,495.0,674.91
2024-04-03,P001,31,2789.69,1395.0,1394.69
2024-04-03,P002,15,449.85,180.0,269.85
2024-04-03,P003,29,579.71,232.0,347.71
2024-04-03,P004,15,899.85,450.0,449.85
2024-04-03,P005,14,1819.86,770.0,1049.86
2024-04-04,P001,31,2789.69,1395.0,1394.69
2024-04-04,P002,22,659.78,264.0,395.78
2024-04-04,P003,37,739.63,296.0,443.63
2024-04-04,P004,13,779.87,390.0,389.87
2024-04-04,P005,9,1169.91,495.0,674.91
2024-04-05,P001,25,2249.75,1125.0,1124.75
2024-04-05,P002,23,689.77,276.0,413.77
2024-04-05,P003,30,599.7,240.0,359.7
2024-04-05,P004,18,1079.82,540.0,539.82
2024-04-05,P005,10,1299.9,550.0,749.9
2024-04-06,P001,22,1979.78,990.0,989.78
2024-04-06,P002,14,419.86,168.0,251.86
2024-04-06,P003,38,759.62,304.0,455.62
2024-04-06,P004,20,1199.8,600.0,599.8
2024-04-06,P005,8,1039.92,440.0,599.92
2024-04-07,P001,24,2159.76,1080.0,1079.76
2024-04-07,P002,26,779.74,312.0,467.74
2024-04-07,P003,38,759.62,304.0,455.62
2024-04-07,P004,16,959.84,480.0,479.84
2024-04-07,P005,8,1039.92,440.0,599.92
2024-04-08,P001,15,1349.85,675.0,674.85
2024-04-08,P002,10,299.9,120.0,179.9
2024-04-08,P003,32,639.68,256.0,383.68
2024-04-08,P004,16,959.84,480.0,479.84
2024-04-08,P005,9,1169.91,495.0,674.91
2024-04-09,P001,29,2609.71,1305.0,1304.71
2024-04-09,P002,14,419.86,168.0,251.86
2024-04-09,P003,29,579.71,232.0,347.71
2024-04-09,P004,15,899.85,450.0,449.85
2024-04-09,P005,7,909.93,385.0,524.93
2024-04-10,P001,16,1439.84,720.0,719.84
2024-04-10,P002,14,419.86,168.0,251.86
2024-04-10,P003,30,599.7,240.0,359.7
2024-04-10,P004,15,899.85,450.0,449.85
2024-04-10,P005,14,1819.86,770.0,1049.86
2024-04-11,P001,22,1979.78,990.0,989.78
2024-04-11,P002,16,479.84,192.0,287.84
2024-04-11,P003,30,599.7,240.0,359.7
2024-04-11,P004,14,839.86,420.0,419.86
2024-04-11,P005,17,2209.83,935.0,1274.83
2024-04-12,P001,19,1709.81,855.0,854.81
2024-04-12,P002,17,509.83,204.0,305.83
2024-04-12,P003,36,719.64,288.0,431.64
2024-04-12,P004,21,1259.79,630.0,629.79
2024-04-12,P005,11,1429.89,605.0,824.89
2024-04-13,P001,37,3329.63,1665.0,1664.63
2024-04-13,P002,25,749.75,300.0,449.75
2024-04-13,P003,39,779.61,312.0,467.61
2024-04-13,P004,23,1379.77,690.0,689.77
2024-04-13,P005,15,1949.85,825.0,1124.85
2024-04-14,P001,20,1799.8,900.0,899.8
2024-04-14,P002,15,449.85,180.0,269.85
2024-04-14,P003,44,879.56,352.0,527.56
2024-04-14,P004,17,1019.83,510.0,509.83
2024-04-14,P005,16,2079.84,880.0,1199.84
2024-04-15,P001,17,1529.83,765.0,764.83
2024-04-15,P002,11,329.89,132.0,197.89
2024-04-15,P003,35,699.65,280.0,419.65
2024-04-15,P004,26,1559.74,780.0,779.74
2024-04-15,P005,13,1689.87,715.0,974.87
2024-04-16,P001,20,1799.8,900.0,899.8
2024-04-16,P002,12,359.88,144.0,215.88
2024-04-16,P003,35,699.65,280.0,419.65
2024-04-16,P004,15,899.85,450.0,449.85
2024-04-16,P005,11,1429.89,605.0,824.89
2024-04-17,P001,24,2159.76,1080.0,1079.76
2024-04-17,P002,16,479.84,192.0,287.84
2024-04-17,P003,25,499.75,200.0,299.75
2024-04-17,P004,14,839.86,420.0,419.86
2024-04-17,P005,7,909.93,385.0,524.93
2024-04-18,P001,24,2159.76,1080.0,1079.76
2024-04-18,P002,15,449.85,180.0,269.85
2024-04-18,P003,29,579.71,232.0,347.71
2024-04-18,P004,17,1019.83,510.0,509.83
2024-04-18,P005,16,2079.84,880.0,1199.84
2024-04-19,P001,17,1529.83,765.0,764.83
2024-04-19,P002,14,419.86,168.0,251.86
2024-04-19,P003,36,719.64,288.0,431.64
2024-04-19,P004,15,899.85,450.0,449.85
2024-04-19,P005,10,1299.9,550.0,749.9
2024-04-20,P001,30,2699.7,1350.0,1349.7
2024-04-20,P002,30,899.7,360.0,539.7
2024-04-20,P003,44,879.56,352.0,527.56
2024-04-20,P004,19,1139.81,570.0,569.81
2024-04-20,P005,10,1299.9,550.0,749.9
2024-04-21,P001,27,2429.73,1215.0,1214.73
2024-04-21,P002,19,569.81,228.0,341.81
2024-04-21,P003,43,859.57,344.0,515.57
2024-04-21,P004,15,899.85,450.0,449.85
2024-04-21,P005,16,2079.84,880.0,1199.84
2024-04-22,P001,20,1799.8,900.0,899.8
2024-04-22,P002,13,389.87,156.0,233.87
2024-04-22,P003,28,559.72,224.0,335.72
2024-04-22,P004,16,959.84,480.0,479.84
2024-04-22,P005,9,1169.91,495.0,674.91
2024-04-23,P001,20,1799.8,900.0,899.8
2024-04-23,P002,11,329.89,132.0,197.89
